Consult,AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
5,Gemini 1.5 pro,Google,0.38333333333333336,0.3129251700680272,0.4946236559139785,0.10084033613445378,0.0821917808219178,0.13043478260869565,0.23333333333333334,0.19047619047619047,0.3010752688172043,0.03482765331864357,0.10886893421411514,0.0730847492814064,165,92
5,Gemini 1.5 pro,Kaldi_NL,0.3622047244094488,0.2857142857142857,0.4946236559139785,0.1111111111111111,0.0875,0.15217391304347827,0.25196850393700787,0.19875776397515527,0.34408602150537637,0.0028911905828863382,0.15080507099628448,0.07726230472326279,174,92
6,GPT 3.5 Turbo,Whisper,0.3300330033003301,0.2631578947368421,0.4424778761061947,0.08637873754152824,0.06878306878306878,0.11607142857142858,0.23762376237623764,0.18947368421052632,0.3185840707964602,0.01332466397434473,0.15640665590763092,0.08533770591020584,199,105
6,GPT 3.5 Turbo,Speechmatics,0.3420074349442379,0.2948717948717949,0.40707964601769914,0.09737827715355805,0.08387096774193549,0.11607142857142858,0.2527881040892193,0.21794871794871795,0.3008849557522124,0.07306226342916489,0.15292635560035706,0.11412181705236435,164,105
6,GPT 3.5 Turbo,Google,0.3283582089552239,0.2838709677419355,0.3893805309734513,0.07518796992481204,0.06493506493506493,0.08928571428571429,0.23880597014925375,0.2064516129032258,0.2831858407079646,0.024172376841306686,0.14162875711917877,0.08370715379714966,168,105
6,GPT 3.5 Turbo,Kaldi_NL,0.3610108303249097,0.3048780487804878,0.4424778761061947,0.06545454545454546,0.05521472392638037,0.08035714285714286,0.23826714801444043,0.20121951219512196,0.2920353982300885,0.05676610395312309,0.16720692813396454,0.11282818764448166,174,105
6,Gemini 1.5 pro,Whisper,0.3081761006289308,0.23902439024390243,0.4336283185840708,0.08227848101265822,0.06372549019607843,0.11607142857142858,0.2138364779874214,0.16585365853658537,0.3008849557522124,-0.026220938190817833,0.12770439684391022,0.051101475954055786,214,105
6,Gemini 1.5 pro,Speechmatics,0.3,0.2318840579710145,0.4247787610619469,0.08176100628930817,0.06310679611650485,0.11607142857142858,0.20625,0.15942028985507245,0.2920353982300885,-0.03945397958159447,0.10366670787334442,0.03265335410833359,221,105
6,Gemini 1.5 pro,Google,0.297029702970297,0.23684210526315788,0.39823008849557523,0.08637873754152824,0.06878306878306878,0.11607142857142858,0.20462046204620463,0.1631578947368421,0.2743362831858407,-0.01503504067659378,0.16121554374694824,0.07305225729942322,196,105
6,Gemini 1.5 pro,Kaldi_NL,0.3106796116504854,0.24489795918367346,0.4247787610619469,0.08469055374592833,0.06666666666666667,0.11607142857142858,0.22653721682847897,0.17857142857142858,0.30973451327433627,-0.036704644560813904,0.1400921791791916,0.051673952490091324,208,105
7,GPT 3.5 Turbo,Whisper,0.3261802575107296,0.2733812949640288,0.40425531914893614,0.09523809523809525,0.07971014492753623,0.11827956989247312,0.20600858369098715,0.17266187050359713,0.2553191489361702,0.041225556284189224,0.08140895515680313,0.06276288628578186,149,91
7,GPT 3.5 Turbo,Speechmatics,0.3502304147465438,0.3089430894308943,0.40425531914893614,0.08372093023255814,0.07377049180327869,0.0967741935483871,0.2304147465437788,0.2032520325203252,0.26595744680851063,0.08312854170799255,0.0720161572098732,0.07906483858823776,131,91
7,GPT 3.5 Turbo,Google,0.2890625,0.22839506172839505,0.39361702127659576,0.06299212598425197,0.049689440993788817,0.08602150537634409,0.1796875,0.1419753086419753,0.24468085106382978,0.00979672558605671,0.08700098097324371,0.049648214131593704,171,91
7,GPT 3.5 Turbo,Kaldi_NL,0.2965779467680609,0.23076923076923078,0.4148936170212766,0.0689655172413793,0.05357142857142857,0.0967741935483871,0.17490494296577946,0.13609467455621302,0.24468085106382978,0.0017107302555814385,0.05228293687105179,0.028450021520256996,180,91
7,Gemini 1.5 pro,Whisper,0.3076923076923077,0.22916666666666666,0.46808510638297873,0.0704225352112676,0.05235602094240838,0.10752688172043011,0.2097902097902098,0.15625,0.3191489361702128,-0.04618547111749649,0.0905909314751625,0.022852757945656776,204,91
7,Gemini 1.5 pro,Speechmatics,0.3458646616541353,0.26744186046511625,0.48936170212765956,0.10606060606060605,0.08187134502923976,0.15053763440860216,0.26315789473684215,0.20348837209302326,0.3723404255319149,-0.030412156134843826,0.15463273227214813,0.06192801147699356,180,91
7,Gemini 1.5 pro,Google,0.3146067415730337,0.24277456647398843,0.44680851063829785,0.0830188679245283,0.06395348837209303,0.11827956989247312,0.2097378277153558,0.16184971098265896,0.2978723404255319,-0.04058527201414108,0.09063302725553513,0.02574480138719082,183,91
7,Gemini 1.5 pro,Kaldi_NL,0.34188034188034183,0.2857142857142857,0.425531914893617,0.07758620689655171,0.06474820143884892,0.0967741935483871,0.22222222222222224,0.18571428571428572,0.2765957446808511,0.03945397958159447,0.09313774853944778,0.0676700696349144,152,91
