Consult,AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
2,GPT 3.5 Turbo,Google,0.20382165605095542,0.13333333333333333,0.43243243243243246,0.025806451612903226,0.01680672268907563,0.05555555555555555,0.14012738853503184,0.09166666666666666,0.2972972972972973,-0.10590749979019165,0.1810414344072342,0.035004355013370514,125,35
2,GPT 3.5 Turbo,Kaldi_NL,0.2122905027932961,0.13380281690140844,0.5135135135135135,0.03389830508474576,0.02127659574468085,0.08333333333333333,0.1452513966480447,0.09154929577464789,0.35135135135135137,-0.12251035869121552,0.17187891900539398,0.0219144057482481,142,35
2,Gemini 1.5 pro,Whisper,0.21495327102803738,0.12994350282485875,0.6216216216216216,0.056603773584905655,0.03409090909090909,0.16666666666666666,0.1588785046728972,0.096045197740113,0.4594594594594595,-0.18578580021858215,0.17504191398620605,-0.01032221782952547,174,35
2,Gemini 1.5 pro,Speechmatics,0.21917808219178084,0.13186813186813187,0.6486486486486487,0.055299539170506916,0.03314917127071823,0.16666666666666666,0.1552511415525114,0.09340659340659341,0.4594594594594595,-0.17376115918159485,0.18244925141334534,-0.00044180560507811606,177,35
2,Gemini 1.5 pro,Google,0.2048780487804878,0.125,0.5675675675675675,0.029556650246305417,0.017964071856287425,0.08333333333333333,0.16585365853658535,0.10119047619047619,0.4594594594594595,-0.20595727860927582,0.15592841804027557,-0.029998283833265305,169,35
2,Gemini 1.5 pro,Kaldi_NL,0.23333333333333334,0.14685314685314685,0.5675675675675675,0.07865168539325842,0.04929577464788732,0.19444444444444445,0.15555555555555556,0.0979020979020979,0.3783783783783784,-0.1485707014799118,0.1922866851091385,0.01760477013885975,141,35
3,GPT 3.5 Turbo,Whisper,0.24561403508771926,0.16030534351145037,0.525,0.023668639053254437,0.015384615384615385,0.05128205128205128,0.16374269005847952,0.10687022900763359,0.35,-0.1887710839509964,0.16688114404678345,-0.015705818310379982,141,39
3,GPT 3.5 Turbo,Speechmatics,0.2857142857142857,0.1875,0.6,0.04819277108433735,0.031496062992125984,0.10256410256410256,0.22619047619047622,0.1484375,0.475,-0.11156146973371506,0.17519012093544006,0.029261941090226173,135,39
3,GPT 3.5 Turbo,Google,0.27322404371584696,0.17482517482517482,0.625,0.044198895027624314,0.028169014084507043,0.10256410256410256,0.17486338797814208,0.11188811188811189,0.4,-0.12920399010181427,0.21720337867736816,0.03954531252384186,152,39
3,GPT 3.5 Turbo,Kaldi_NL,0.2146341463414634,0.13333333333333333,0.55,0.029556650246305417,0.018292682926829267,0.07692307692307693,0.15609756097560976,0.09696969696969697,0.4,-0.22905071079730988,0.10955409705638885,-0.06388841569423676,176,39
3,Gemini 1.5 pro,Whisper,0.2105263157894737,0.1301775147928994,0.55,0.009661835748792268,0.005952380952380952,0.02564102564102564,0.12440191387559808,0.07692307692307693,0.325,-0.24966296553611755,0.09671001136302948,-0.08088256418704987,173,39
3,Gemini 1.5 pro,Speechmatics,0.233502538071066,0.1464968152866242,0.575,0.041025641025641026,0.02564102564102564,0.10256410256410256,0.14213197969543148,0.08917197452229299,0.35,-0.24147862195968628,0.11939046531915665,-0.06598018854856491,166,39
3,Gemini 1.5 pro,Google,0.21000000000000002,0.13125,0.525,0.020202020202020204,0.012578616352201259,0.05128205128205128,0.13999999999999999,0.0875,0.35,-0.2309015393257141,0.09560567885637283,-0.07137191295623779,165,39
3,Gemini 1.5 pro,Kaldi_NL,0.2528735632183908,0.16417910447761194,0.55,0.03488372093023256,0.022556390977443608,0.07692307692307693,0.16091954022988506,0.1044776119402985,0.35,-0.18620888888835907,0.14285936951637268,-0.02550783008337021,143,39
4,GPT 3.5 Turbo,Whisper,0.2210526315789474,0.13725490196078433,0.5675675675675675,0.02127659574468085,0.013157894736842105,0.05555555555555555,0.15789473684210525,0.09803921568627451,0.40540540540540543,-0.21164767444133759,0.13434946537017822,-0.043055739253759384,166,35
4,GPT 3.5 Turbo,Speechmatics,0.24418604651162792,0.15555555555555556,0.5675675675675675,0.047058823529411764,0.029850746268656716,0.1111111111111111,0.186046511627907,0.11851851851851852,0.43243243243243246,-0.13302944600582123,0.20332889258861542,0.03104364313185215,143,35
4,GPT 3.5 Turbo,Google,0.2085308056872038,0.12643678160919541,0.5945945945945946,0.02870813397129186,0.017341040462427744,0.08333333333333333,0.15165876777251183,0.09195402298850575,0.43243243243243246,-0.20266422629356384,0.20722340047359467,-0.00458298297598958,188,35
4,GPT 3.5 Turbo,Kaldi_NL,0.20202020202020204,0.12422360248447205,0.5405405405405406,0.05102040816326531,0.03125,0.1388888888888889,0.1616161616161616,0.09937888198757763,0.43243243243243246,-0.1874745935201645,0.19671708345413208,-0.0012109923409298062,173,35
4,Gemini 1.5 pro,Whisper,0.1904761904761905,0.11162790697674418,0.6486486486486487,0.08,0.04672897196261682,0.2777777777777778,0.12698412698412698,0.07441860465116279,0.43243243243243246,-0.27197781205177307,0.17192135751247406,-0.058379437774419785,219,35
4,Gemini 1.5 pro,Speechmatics,0.2358974358974359,0.14556962025316456,0.6216216216216216,0.031088082901554404,0.01910828025477707,0.08333333333333333,0.15384615384615385,0.0949367088607595,0.40540540540540543,-0.24064837396144867,0.17842069268226624,-0.03836751729249954,169,35
4,Gemini 1.5 pro,Google,0.23529411764705885,0.14666666666666667,0.5945945945945946,0.06486486486486485,0.040268456375838924,0.16666666666666666,0.17112299465240643,0.10666666666666667,0.43243243243243246,-0.29777637124061584,0.20201268792152405,-0.058925073593854904,162,35
4,Gemini 1.5 pro,Kaldi_NL,0.2233502538071066,0.1375,0.5945945945945946,0.05128205128205129,0.031446540880503145,0.1388888888888889,0.17258883248730963,0.10625,0.4594594594594595,-0.22007858753204346,0.2287333905696869,-0.004223110619932413,167,35
5,GPT 3.5 Turbo,Whisper,0.13392857142857142,0.07936507936507936,0.42857142857142855,0.018018018018018018,0.010638297872340425,0.058823529411764705,0.11607142857142858,0.06878306878306878,0.37142857142857144,-0.2650899589061737,-0.004933393560349941,-0.13668039441108704,204,34
5,GPT 3.5 Turbo,Speechmatics,0.1739130434782609,0.10465116279069768,0.5142857142857142,0.00975609756097561,0.005847953216374269,0.029411764705882353,0.11594202898550723,0.06976744186046512,0.34285714285714286,-0.22932840883731842,0.019705984741449356,-0.10621487349271774,189,34
5,GPT 3.5 Turbo,Google,0.25,0.1651376146788991,0.5142857142857142,0.02816901408450704,0.018518518518518517,0.058823529411764705,0.16666666666666669,0.11009174311926606,0.34285714285714286,-0.10146193951368332,0.10406181961297989,0.0007914359448477626,120,34
5,GPT 3.5 Turbo,Kaldi_NL,0.1596244131455399,0.09550561797752809,0.4857142857142857,0.018957345971563982,0.011299435028248588,0.058823529411764705,0.13145539906103287,0.07865168539325842,0.4,-0.21115562319755554,0.05634015426039696,-0.07932724058628082,193,34
5,Gemini 1.5 pro,Whisper,0.18378378378378377,0.11333333333333333,0.4857142857142857,0.02185792349726776,0.013422818791946308,0.058823529411764705,0.14054054054054055,0.08666666666666667,0.37142857142857144,-0.20652362704277039,0.03930691257119179,-0.0849509909749031,165,34
5,Gemini 1.5 pro,Speechmatics,0.2159090909090909,0.1347517730496454,0.5428571428571428,0.045977011494252866,0.02857142857142857,0.11764705882352941,0.1590909090909091,0.09929078014184398,0.4,-0.18747495114803314,0.06741490960121155,-0.06162746995687485,155,34
5,Gemini 1.5 pro,Google,0.17989417989417986,0.11038961038961038,0.4857142857142857,0.0320855614973262,0.0196078431372549,0.08823529411764706,0.14814814814814814,0.09090909090909091,0.4,-0.1910315454006195,0.08796630054712296,-0.05379610136151314,171,34
5,Gemini 1.5 pro,Kaldi_NL,0.17733990147783252,0.10714285714285714,0.5142857142857142,0.029850746268656712,0.017964071856287425,0.08823529411764706,0.12807881773399016,0.07738095238095238,0.37142857142857144,-0.25195491313934326,0.1160145178437233,-0.07316986471414566,180,34
6,GPT 3.5 Turbo,Whisper,0.25,0.15789473684210525,0.6,0.04201680672268907,0.026455026455026454,0.10204081632653061,0.15833333333333335,0.1,0.38,-0.17370668053627014,0.14218305051326752,-0.019167158752679825,199,46
6,GPT 3.5 Turbo,Speechmatics,0.27884615384615385,0.18354430379746836,0.58,0.058252427184466014,0.03821656050955414,0.12244897959183673,0.20192307692307693,0.13291139240506328,0.42,-0.1139322966337204,0.17408013343811035,0.027486948296427727,166,46
6,GPT 3.5 Turbo,Google,0.2634146341463415,0.17419354838709677,0.54,0.05911330049261084,0.03896103896103896,0.12244897959183673,0.17560975609756097,0.11612903225806452,0.36,-0.16857661306858063,0.14749421179294586,-0.013955195434391499,168,46
6,GPT 3.5 Turbo,Kaldi_NL,0.26168224299065423,0.17073170731707318,0.56,0.03773584905660377,0.024539877300613498,0.08163265306122448,0.14953271028037385,0.0975609756097561,0.32,-0.15124326944351196,0.1272473931312561,-0.014279044233262539,174,46
6,Gemini 1.5 pro,Whisper,0.22307692307692306,0.1380952380952381,0.58,0.06201550387596899,0.03827751196172249,0.16326530612244897,0.16923076923076924,0.10476190476190476,0.44,-0.21491986513137817,0.11621755361557007,-0.053240224719047546,218,46
6,Gemini 1.5 pro,Speechmatics,0.22900763358778625,0.14150943396226415,0.6,0.06153846153846154,0.037914691943127965,0.16326530612244897,0.15267175572519087,0.09433962264150944,0.4,-0.22392205893993378,0.13344286382198334,-0.05005187913775444,225,46
6,Gemini 1.5 pro,Google,0.2693877551020408,0.16923076923076924,0.66,0.05761316872427983,0.03608247422680412,0.14285714285714285,0.1469387755102041,0.09230769230769231,0.36,-0.2023196667432785,0.2283007800579071,0.005250105634331703,200,46
6,Gemini 1.5 pro,Kaldi_NL,0.24701195219123506,0.15422885572139303,0.62,0.05622489959839358,0.035,0.14285714285714285,0.15936254980079684,0.09950248756218906,0.4,-0.22063927352428436,0.18695642054080963,-0.023610644042491913,212,46
